Выбор;Тип;Вид;Организация;Родитель;Владелец
Нет;РегистрыСведений;СоставыГруппПользователей;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияБанковскихДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияЗаданийРаспознаваниеДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияИнтеграцииАУСН;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияКонтрагентов;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияКонтрагентовБЭД;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияНовостей;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияОбменовДанными;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияПоОбъектамУчетаЭДО;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияПроверокВеденияУчета;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияСинхронизацииСервисНастроекЭДО;Нет;Нет;Нет
Нет;РегистрыСведений;СостоянияУспешныхОбменовДанными;Нет;Нет;Нет
Нет;РегистрыСведений;СписокВыбораРеквизитовРаспознаваниеДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;СписокВыбораТабличныхЧастейРаспознаваниеДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;СтавкиАкцизаПоставляемый;Нет;Нет;Нет
Нет;РегистрыСведений;СтатистикаКонфигурации;Нет;Нет;Нет
Нет;РегистрыСведений;СтатусыОформленияДокументовЕГАИС;Нет;Нет;Нет
Нет;РегистрыСведений;СтатусыПроверокРНПТДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;ТаблицыГруппДоступа;Нет;Нет;Нет
Нет;РегистрыСведений;УдалитьНастройкиУчетаМаркируемойПродукцииИСМП;Нет;Нет;Нет
Нет;РегистрыСведений;ФайлыВРабочемКаталоге;Нет;Нет;Нет
Нет;РегистрыСведений;ФорматыДляПреобразования;Нет;Нет;Нет
Нет;РегистрыСведений;ФорматыЭлектронныхДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;ХранилищеДанных;Нет;Нет;Нет

KEEP_COUNT=171
REMOVE_COUNT=114

